compression_algorithm,compression_nthreads,compression_shuffle,compression_level,filesize_in_megabytes,hdf5_chunk_size,graph_execution_time
BloscZstd,1,Byte,5,0.2600545883178711,1024,136.200375ms
BloscZstd,1,Byte,5,0.19075870513916016,4096,136.691042ms
BloscZstd,1,Byte,5,0.17671489715576172,16384,150.617709ms
BloscZstd,1,Byte,5,0.2090291976928711,32768,152.634208ms
BloscZstd,1,Byte,1,0.27164649963378906,1024,136.610667ms
BloscZstd,1,Byte,1,0.24303913116455078,4096,140.157167ms
BloscZstd,1,Byte,1,0.2575054168701172,16384,140.181834ms
BloscZstd,1,Byte,1,0.336761474609375,32768,140.644375ms
BloscZstd,1,Byte,5,0.2600545883178711,1024,136.995125ms
BloscZstd,1,Byte,5,0.19075870513916016,4096,138.12375ms
BloscZstd,1,Byte,5,0.17671489715576172,16384,149.221292ms
BloscZstd,1,Byte,5,0.2090291976928711,32768,159.615833ms
BloscZstd,1,Byte,9,0.2520122528076172,1024,1.452163708s
BloscZstd,1,Byte,9,0.1774129867553711,4096,627.161625ms
BloscZstd,1,Byte,9,0.13570880889892578,16384,838.28625ms
BloscZstd,1,Byte,9,0.16085052490234375,32768,1.554243583s
BloscZstd,12,Byte,5,0.2600545883178711,1024,139.334625ms
BloscZstd,12,Byte,5,0.19075870513916016,4096,137.3065ms
BloscZstd,12,Byte,5,0.17671489715576172,16384,144.404208ms
BloscZstd,12,Byte,5,0.2090291976928711,32768,161.242459ms
BloscZstd,12,Byte,1,0.27164649963378906,1024,156.893708ms
BloscZstd,12,Byte,1,0.24303913116455078,4096,150.242708ms
BloscZstd,12,Byte,1,0.2575054168701172,16384,149.689417ms
BloscZstd,12,Byte,1,0.336761474609375,32768,150.305917ms
BloscZstd,12,Byte,5,0.2600545883178711,1024,146.00975ms
BloscZstd,12,Byte,5,0.19075870513916016,4096,144.062708ms
BloscZstd,12,Byte,5,0.17671489715576172,16384,151.898083ms
BloscZstd,12,Byte,5,0.2090291976928711,32768,148.652709ms
BloscZstd,12,Byte,9,0.2520122528076172,1024,1.504904584s
BloscZstd,12,Byte,9,0.1774129867553711,4096,675.807834ms
BloscZstd,12,Byte,9,0.13570880889892578,16384,922.744125ms
BloscZstd,12,Byte,9,0.16085052490234375,32768,1.685001583s
BloscZstd,24,Byte,5,0.2600545883178711,1024,142.137667ms
BloscZstd,24,Byte,5,0.19075870513916016,4096,140.548541ms
BloscZstd,24,Byte,5,0.17671489715576172,16384,143.636625ms
BloscZstd,24,Byte,5,0.2090291976928711,32768,152.314292ms
BloscZstd,24,Byte,1,0.27164649963378906,1024,144.687875ms
BloscZstd,24,Byte,1,0.24303913116455078,4096,148.993958ms
BloscZstd,24,Byte,1,0.2575054168701172,16384,147.879917ms
